TimeStep,"Vel","Points:0","Points:1","Points:2"
0,0,22.293,8.5342,14.064
0,0,22.271,8.5153,14.033
0,0,22.25,8.4963,14.003
0,0,22.228,8.4772,13.973
0,0,22.206,8.4581,13.943
0,0,22.184,8.4388,13.914
0,0,22.161,8.4195,13.886
0,0,22.139,8.4,13.858
0,0,22.116,8.3805,13.831
0,0,22.093,8.3609,13.804
0,0,22.07,8.3412,13.778
0,0,22.047,8.3214,13.752
0,0,22.023,8.3016,13.727
0,0,22,8.2816,13.702
0,0,21.976,8.2615,13.677
0,0,21.952,8.2414,13.653
0,0,21.928,8.2212,13.63
0,0,21.904,8.2009,13.607
0,0,21.879,8.1804,13.584
0,0,21.855,8.1599,13.562
0,0,21.83,8.1393,13.54
0,0,21.805,8.1187,13.518
0,0,21.78,8.0979,13.497
0,0,21.755,8.077,13.476
0,0,21.73,8.0561,13.456
0,0,21.705,8.035,13.436
0,0,21.679,8.0139,13.416
0,0,21.654,7.9927,13.397
0,0.0067361,21.628,7.9714,13.378
0,0.006744,21.603,7.95,13.359
0,0.0067519,21.577,7.9285,13.34
0,0.0067802,21.551,7.9069,13.322
0,0.006813,21.525,7.8852,13.304
0,0.0068425,21.499,7.8635,13.287
0,0.0068695,21.473,7.8416,13.269
0,0.0069002,21.447,7.8197,13.252
0,0.0069405,21.421,7.7977,13.235
0,0.0069824,21.394,7.7755,13.219
0,0.0070169,21.368,7.7533,13.202
0,0.0070531,21.341,7.731,13.186
0,0.0070865,21.315,7.7086,13.17
0,0.0071199,21.288,7.6861,13.155
0,0.0071488,21.262,7.6636,13.139
0,0.0071732,21.235,7.6409,13.124
0,0.0071958,21.209,7.6181,13.108
0,0.0072121,21.182,7.5953,13.093
0,0.0072291,21.155,7.5723,13.078
0,0.0072364,21.129,7.5493,13.064
0,0.0072458,21.102,7.5262,13.049
0,0.0072468,21.075,7.503,13.035
0,0.0072491,21.049,7.4797,13.02
0,0.0072457,21.022,7.4558,13.005
0,0.0072422,20.995,7.4322,12.991
0,0.0072361,20.969,7.4087,12.976
0,0.0072294,20.942,7.3851,12.962
0,0.0072217,20.915,7.3616,12.947
0,0.0072134,20.889,7.3376,12.933
0,0.0072053,20.862,7.3137,12.918
0,0.0071971,20.835,7.2896,12.904
0,0.0071898,20.809,7.2655,12.889
0,0.0071829,20.782,7.2411,12.875
0,0.0071772,20.756,7.2165,12.86
0,0.0071726,20.729,7.1919,12.846
0,0.0071698,20.703,7.1673,12.831
0,0.0071686,20.677,7.1426,12.817
0,0.0071692,20.651,7.1176,12.803
0,0.0071719,20.625,7.0929,12.789
0,0.0071766,20.599,7.0676,12.774
0,0.0071839,20.574,7.0425,12.76
0,0.0071934,20.548,7.0171,12.745
0,0.0072057,20.523,6.9917,12.73
0,0.0072204,20.497,6.9661,12.715
0,0.0072378,20.471,6.9404,12.701
0,0.0072575,20.446,6.9146,12.686
0,0.0072804,20.421,6.8884,12.671
0,0.0073062,20.395,6.8621,12.655
0,0.0073346,20.37,6.8358,12.64
0,0.0073655,20.346,6.8095,12.625
0,0.0073999,20.321,6.783,12.609
0,0.0074375,20.296,6.7565,12.593
0,0.0074764,20.271,6.7302,12.578
0,0.0075202,20.247,6.7038,12.562
0,0.0075659,20.223,6.6772,12.546
0,0.007615,20.198,6.6508,12.53
0,0.0076659,20.175,6.6245,12.514
0,0.0077213,20.151,6.5982,12.498
0,0.0077777,20.127,6.5719,12.482
0,0.00784,20.104,6.5454,12.465
0,0.0079044,20.08,6.5189,12.448
0,0.007971,20.057,6.4925,12.432
0,0.0080426,20.034,6.4659,12.414
0,0.0081182,20.011,6.4394,12.397
0,0.0081971,19.987,6.4127,12.378
0,0.0082817,19.964,6.3861,12.36
0,0.0083682,19.941,6.3599,12.341
0,0.0084584,19.917,6.3334,12.322
0,0.0085536,19.895,6.3074,12.303
0,0.0086495,19.872,6.2816,12.284
0,0.0087514,19.85,6.2558,12.264
0,0.0088566,19.827,6.2301,12.244
0,0.0089653,19.805,6.2045,12.223
0,0.0090809,19.782,6.179,12.202
0,0.0091986,19.76,6.1536,12.181
0,0.0093215,19.737,6.1286,12.159
0,0.0094473,19.715,6.1037,12.136
0,0.0095761,19.693,6.0788,12.114
0,0.0097091,19.671,6.0539,12.092
0,0.0098445,19.649,6.0288,12.07
0,0.0099852,19.627,6.0041,12.047
0,0.010125,19.605,5.9794,12.025
0,0.010276,19.583,5.9548,12.002
0,0.010422,19.561,5.9306,11.979
0,0.010577,19.539,5.9066,11.956
0,0.010729,19.517,5.8826,11.934
0,0.010885,19.496,5.8591,11.911
0,0.011043,19.474,5.8354,11.889
0,0.011201,19.453,5.8124,11.866
0,0.011364,19.431,5.7891,11.844
0,0.011524,19.41,5.766,11.821
0,0.011693,19.389,5.743,11.799
0,0.011852,19.368,5.72,11.777
0,0.012025,19.347,5.6971,11.755
0,0.012185,19.326,5.6743,11.734
0,0.012355,19.305,5.6516,11.712
0,0.012522,19.284,5.6287,11.69
0,0.012688,19.264,5.6059,11.669
0,0.01286,19.243,5.583,11.647
0,0.01302,19.222,5.5602,11.625
0,0.013197,19.202,5.5374,11.603
0,0.013358,19.182,5.5148,11.582
0,0.01353,19.161,5.4918,11.559
0,0.013694,19.141,5.4689,11.537
0,0.013857,19.121,5.4459,11.515
0,0.014022,19.1,5.4229,11.492
0,0.014177,19.08,5.3999,11.47
0,0.014337,19.06,5.3771,11.447
0,0.01448,19.04,5.3544,11.425
0,0.014634,19.02,5.3317,11.402
0,0.014773,19,5.309,11.379
0,0.014912,18.98,5.2866,11.356
0,0.015041,18.96,5.2643,11.334
0,0.015167,18.94,5.2423,11.311
0,0.01528,18.921,5.2203,11.288
0,0.015393,18.901,5.1982,11.265
0,0.015494,18.881,5.1761,11.242
0,0.015589,18.861,5.1541,11.219
0,0.015679,18.841,5.1321,11.195
0,0.01575,18.821,5.1102,11.172
0,0.015829,18.802,5.0883,11.149
0,0.015879,18.782,5.0664,11.125
0,0.015943,18.761,5.0444,11.101
0,0.015978,18.742,5.0227,11.078
0,0.016022,18.722,5.0007,11.054
0,0.016044,18.701,4.9787,11.03
0,0.01607,18.681,4.9568,11.006
0,0.016079,18.661,4.935,10.982
0,0.01609,18.642,4.9131,10.957
0,0.016088,18.622,4.8918,10.933
0,0.016087,18.603,4.8705,10.909
0,0.01608,18.583,4.8492,10.885
0,0.01607,18.564,4.828,10.86
0,0.016062,18.544,4.8068,10.835
0,0.016047,18.525,4.7858,10.81
0,0.016038,18.506,4.7648,10.785
0,0.01603,18.487,4.7439,10.76
0,0.016017,18.468,4.723,10.734
0,0.016021,18.449,4.702,10.708
0,0.016015,18.43,4.6809,10.682
0,0.016027,18.412,4.6602,10.656
0,0.016039,18.394,4.6395,10.63
0,0.016059,18.377,4.6192,10.604
0,0.016091,18.359,4.5988,10.577
0,0.016132,18.342,4.5787,10.551
0,0.016181,18.325,4.5586,10.524
0,0.016251,18.308,4.5387,10.498
0,0.016324,18.291,4.5189,10.471
0,0.016417,18.274,4.4994,10.444
0,0.016522,18.257,4.4796,10.416
0,0.016648,18.24,4.4598,10.389
0,0.016784,18.223,4.4404,10.362
0,0.016939,18.206,4.421,10.334
0,0.017115,18.189,4.4019,10.307
0,0.017303,18.173,4.3829,10.279
0,0.017517,18.156,4.364,10.252
0,0.017748,18.139,4.3453,10.224
0,0.018003,18.122,4.3261,10.196
0,0.018288,18.105,4.307,10.167
0,0.018599,18.087,4.2876,10.139
0,0.01893,18.07,4.2686,10.11
0,0.019291,18.053,4.2496,10.081
0,0.019683,18.034,4.2305,10.052
0,0.020098,18.017,4.2117,10.024
0,0.020547,17.999,4.1929,9.9946
0,0.021009,17.981,4.1746,9.9662
0,0.021512,17.963,4.156,9.9376
0,0.022045,17.945,4.1374,9.9089
0,0.022601,17.927,4.1189,9.8805
0,0.023196,17.91,4.1004,9.8519
0,0.023817,17.892,4.0819,9.8233
0,0.024474,17.874,4.0634,9.7946
0,0.025171,17.855,4.0447,9.7659
0,0.025898,17.837,4.026,9.7371
0,0.02665,17.819,4.0075,9.7088
0,0.027435,17.8,3.989,9.6804
0,0.028251,17.782,3.9705,9.6521
0,0.029092,17.763,3.9521,9.6242
0,0.029967,17.745,3.9336,9.5962
0,0.030881,17.726,3.9148,9.5679
0,0.031817,17.707,3.8962,9.5401
0,0.032792,17.688,3.8771,9.512
0,0.033778,17.668,3.8583,9.4845
0,0.034784,17.649,3.8394,9.4572
0,0.035793,17.63,3.8209,9.4304
0,0.036824,17.61,3.8021,9.4037
0,0.03788,17.591,3.7829,9.377
0,0.038949,17.571,3.7635,9.3503
0,0.040014,17.551,3.7442,9.3241
0,0.041081,17.531,3.7248,9.2981
0,0.04213,17.511,3.7055,9.2727
0,0.043181,17.492,3.686,9.2474
0,0.044224,17.471,3.6662,9.2221
0,0.045253,17.451,3.6462,9.1972
0,0.046257,17.431,3.626,9.1724
0,0.047255,17.41,3.6052,9.1473
0,0.048219,17.39,3.5843,9.1224
0,0.049135,17.369,3.5634,9.0979
0,0.050014,17.348,3.5423,9.0734
0,0.050839,17.327,3.5209,9.0491
0,0.051601,17.305,3.4997,9.0252
0,0.052301,17.284,3.4782,9.0015
0,0.052929,17.263,3.4565,8.978
0,0.053479,17.241,3.4349,8.955
0,0.053952,17.22,3.413,8.9318
0,0.054344,17.198,3.3909,8.9087
0,0.05464,17.176,3.369,8.8861
0,0.054847,17.154,3.3468,8.8636
0,0.05496,17.132,3.3246,8.8413
0,0.054972,17.11,3.3022,8.8191
0,0.054888,17.087,3.2798,8.7971
0,0.054697,17.064,3.257,8.7748
0,0.054409,17.041,3.2342,8.7527
0,0.05401,17.018,3.2112,8.7302
0,0.053516,16.995,3.1883,8.7082
0,0.052918,16.971,3.1652,8.6858
0,0.052229,16.948,3.1421,8.6637
0,0.05145,16.924,3.119,8.6416
0,0.050598,16.901,3.0961,8.6199
0,0.049667,16.877,3.073,8.5981
0,0.048671,16.854,3.05,8.5764
0,0.047616,16.831,3.027,8.5546
0,0.046502,16.809,3.0038,8.5324
0,0.045347,16.786,2.9808,8.5103
0,0.044154,16.763,2.9578,8.488
0,0.042942,16.741,2.935,8.4658
0,0.041721,16.719,2.9124,8.4436
0,0.04048,16.697,2.8898,8.421
0,0.039241,16.675,2.8672,8.3981
0,0.037998,16.653,2.8447,8.3749
0,0.036771,16.632,2.8221,8.3514
0,0.035559,16.611,2.7996,8.3277
0,0.03438,16.59,2.7773,8.3038
0,0.033235,16.57,2.7552,8.2797
0,0.032138,16.55,2.7334,8.2557
0,0.031055,16.529,2.7115,8.2308
0,0.030019,16.509,2.6896,8.2055
0,0.029009,16.489,2.6677,8.1796
0,0.028069,16.469,2.6461,8.1536
0,0.027165,16.449,2.6247,8.1273
0,0.026332,16.429,2.6034,8.1008
0,0.025535,16.409,2.5823,8.0739
0,0.024805,16.389,2.5613,8.0466
0,0.024118,16.369,2.5405,8.0189
0,0.023491,16.348,2.5197,7.9908
0,0.022923,16.328,2.4992,7.9623
0,0.022406,16.308,2.4789,7.9333
0,0.021961,16.287,2.4588,7.9041
0,0.02156,16.267,2.439,7.8747
